"HEADWORD","DEFINITION","PART OF SPEECH","SEMANTIC GROUP","FREQUENCY RANK"
"οὐδείς οὐδεμία οὐδέν","no one, nothing","pronoun","Pronouns/Interrogatives","56"
"εἶπον","I said, I spoke, 2 aor. → λέγω, φημί","verb: irregular","Writing and Talking","57"
"ἀγαθός –ή –όν","good, virtuous, brave, noble","adjective: 1st and 2nd declension","Ethics and Morals","58"
"γε","(enclitic) indeed; at least, at any rate","adverb","Particles","59"
"δή","surely, really, now, in fact, indeed (gives greater exactness)","adverb","Particles","60"
"πόλις πόλεως, ἡ","city, city-state","noun: 3rd declension ι-stem","Government and Society","61"
"εἷς μία ἕν","one","adjective: numeral","Measurements and Numerals","62"
"ἵημι, ἥσω, ἧκα, -εἷκα, εἷμαι, -εἵθην","put in motion, let go, shoot; (mid.) hasten, rush","verb: -μι","Work and Leisure","63"
"δέω, δεήσω, ἐδέησα, δεδέηκα, δεδέημαι, ἐδεήθην","lack, miss, stand in need of (+gen.)","verb: contracted","Taking and Giving","64"
"ἄνθρωπος –ου, ὁ/ἡ","human being","noun: 2nd declension","Humanity and Being","65"
"ὁράω, ὄψομαι, 2 aor. εἶδον, ἑόρακα and ἑώρακα, ὤφθην, impf. ἑώρων","see, look (to)","verb: contracted","The Senses and Feelings","66"
"μόνος μόνη μόνον","alone, single","adjective: 1st and 2nd declension","Measurements and Numerals","67"
"οὔτε...οὔτε","neither...nor","conjunction: coordinating","Conjunctions/Adverbs","68"
"οἷος οἵα οἷον","such as, of what sort, like, (exclam.) what a!, how! ; οἷός τε (+infin.) fit or able to; οἷόν τε (+infin.) it is possible to","adjective: 1st and 2nd declension","Pronouns/Interrogatives","69"
"λαμβάνω, λήψομαι, ἔλαβον, εἴληφα, εἴλημμαι, ἐλήφθην","take, grasp, seize; receive, get","verb: -ω liquid stem","Taking and Giving","70"
"δοκέω, δόξω, ἔδοξα","think, suppose, imagine (+acc. and infin.); seem, seem good; (impers.) δοκεῖ μοι it seems to me","verb: -ω palatal stem","The Mind, Perceiving and Learning","71"
"ἕτερος ἑτέρα ἕτερον","the other (of two); other, another","adjective: 1st and 2nd declension","Pronouns/Interrogatives","72"
"κακός –ή –όν","bad, wicked, cowardly","adjective: 1st and 2nd declension","Characteristics","73"
"ἀνήρ ἀνδρός, ὁ","man, husband","noun: 3rd declension irregular","Humanity and Being","74"
"ἐπεί","after, since, when","conjunction: subordinating","Time","75"
"ὅσος ὅση ὅσον","however much; as great as; (in pl.) as many as; ὅσον (adv.) as much as","adjective: 1st and 2nd declension","Pronouns/Interrogatives","76"
"καλέω, καλῶ, ἐκάλεσα, κέκληκα, κέκλημαι, ἐκλήθην","call, summon","verb: contracted","Writing and Talking","77"
"σῶμα σώματος, τό","body","noun: 3rd declension consonant stem","Body Parts","78"
"δεῖ, δεήσει, impf. ἔδει","it is necessary, one must, one ought (+acc. and infin.)","verb: impersonal","Ethics and Morals","79"
"ὥσπερ","just as, as if","conjunction: subordinating","Conjunctions/Adverbs","80"
"δίδωμι, δώσω, ἔδωκα, δέδωκα, δέδομαι, ἐδόθην","give, grant, offer","verb: -μι","Taking and Giving","81"
"ἔτι","still, yet","adverb","Time","82"
"φύσις φύσεως, ἡ","nature; (of the mind) one’s nature or disposition; regular order of nature","noun: 3rd declension ι-stem","World Order","83"
"μικρός –ά –όν","small, little, short","adjective: 1st and 2nd declension","Measurements and Numerals","84"
"δύναμαι, δυνήσομαι, ἐδυνήθην, δεδύνημαι","(+infin.) to be able (to), be strong enough (to)","verb: impersonal","Work and Leisure","85"
"ὥστε","(introducing natural or actual result clause) so as, so that, (with the result) that","conjunction: subordinating","Conjunctions/Adverbs","86"
"ἀρχή ἀρχῆς, ἡ","beginning, origin; rule, empire, realm; magistracy","noun: 1st declension","Time","87"
"ἕκαστος ἑκάστη ἕκαστον","each (of several)","pronoun","Pronouns/Interrogatives","88"
"ἡμέρα ἡμέρας, ἡ","day","noun: 1st declension","World Order","89"
"φύω, φύσω, ἔφυσα","bring forth, produce, beget; 2 aor. ἔφυν grew, pf. πέφυκα be by nature","verb: -ω vowel stem","World Order","90"
"ἅπας ἅπασα ἅπαν","all together","noun: 3rd declension irregular","Measurements and Numerals","91"
"ὅμοιος ὁμοία ὅμοιον","like, resembling (+dat.)","adjective: 1st and 2nd declension","Characteristics","92"
"νῦν, νυνί","now","adverb","Time","93"
"γῆ γῆς, ἡ","earth","noun: 1st declension","Earth","94"
"δύναμις δυνάμεως, ἡ","power, strength, ability","noun: 3rd declension ι-stem","War and Peace","95"
"καλός –ή –όν","beautiful, noble, honorable","adjective: 1st and 2nd declension","Characteristics","96"
"κύριος κυρίου, ὁ","lord, master","noun: 2nd declension","Government and Society","97"
"μᾶλλον","more, rather; μᾶλλον...ἤ rather than","adverb","Conjunctions/Adverbs","98"
"ὅδε ἥδε τόδε","this","pronoun","Pronouns/Interrogatives","99"
"ὅλος ὅλη ὅλον","whole, entire, complete","adjective: 1st and 2nd declension","Measurements and Numerals","100"
"μέρος μέρους, τό","part, share","noun: 3rd declension σ-stem","Measurements and Numerals","101"
"ἄρα","therefore, then (drawing an inference)","adverb","Particles","102"
"ἐμός ἐμή ἐμόν","my, mine","adjective: 1st and 2nd declension","Pronouns/Interrogatives","103"
"χράομαι, χρήσομαι, ἐχρησάμην, κέχρημαι, ἐχρήσθην","use, experience, suffer (+dat.); treat someone in a certain way (+dat. and adv.)","verb: deponent","Government and Society","104"
"δύο","two","adjective: numeral","Measurements and Numerals","105"
"χρόνος χρόνου, ὁ","time","noun: 2nd declension","Time","106"
"ἴσος ἴση ἴσον","equal, the same as (+dat.)","adjective: 1st and 2nd declension","Measurements and Numerals","107"
"ὅταν (ὅτε-ἄν)","whenever (+subj.)","conjunction: subordinating","Conjunctions/Adverbs","108"
"μόνον","only","adverb","Conjunctions/Adverbs","109"
"οἶδα, infin. εἰδέναι, imper. ἴσθι, plupf. used as impf. ᾔδειν","to know (pf. in pres. sense); to know how to (+infin.)","verb: irregular","The Mind, Perceiving and Learning","110"
"βασιλεύς βασιλέως, ὁ","king","noun: 3rd declension -εύς, -έως","Government and Society","111"
"ὦ","oh! (unemphatic when with the vocative)","interjection","Particles","112"
"βούλομαι, βουλήσομαι, βεβούλημαι, ἐβουλήθην","(+infin.) will, wish (to); be willing (to); ὁ βουλόμενος anyone who likes","verb: deponent","The Senses and Feelings","113"
"φαίνω, φανῶ, ἔφηνα, πέφηνα, πέφασμαι, ἐφάνην","bring to light, make appear, make clear; (pass.) come to light, be seen, appear, appear to be (+ptc. or infin.)","verb: -ω liquid stem","Showing and Finding","114"
"γράφω, γράψω, ἔγραψα, γέγραφα, γέγραμμαι, ἐγράφην","write","verb: -ω labial stem","Writing and Talking","115"
"φέρω, οἴσω, 1 aor. ἤνεγκα, 2 aor. ἤνεγκον, ἐνήνοχα, ἐνήνεγμαι, ἠνέχθην","carry, bring, fetch; carry off or away; φέρε come now, well","verb: irregular","Work and Leisure","116"
"ψυχή ψυχῆς, ἡ","breath, life, soul","noun: 1st declension","Humanity and Being","117"
"μηδείς μηδεμία μηδέν","no one, nothing","pronoun","Pronouns/Interrogatives","118"
"αἴτιος αἰτία αἴτιον","responsible, guilty","adjective: 1st and 2nd declension","Law and Judgment","119"
"πάλιν","back, backwards; again","adverb","Direction","120"
"μάλιστα","most, most of all; (in replies) certainly","adverb","Conjunctions/Adverbs","121"
"ὑπάρχω, ὑπάρξω, ὑπῆρξα, ὑπῆργμαι, ὑπήρχθην","exist, be, belong to; τὰ ὑπάρχοντα existing circumstances","verb: -ω palatal stem","Humanity and Being","122"
"ἄρχω, ἄρξω, ἦρξα, ἦργμαι, ἤρχθην","begin (+gen.); lead, rule, govern (+gen.)","verb: -ω palatal stem","Time","123"
"γυνή γυναικός, ἡ","woman, wife","noun: 3rd declension irregular","Humanity and Being","124"
"ποτε (enclitic)","at some time, ever, in the world","adverb","Time","125"
"ἵνα","in order that (conj. +subj. or opt.); where (rel. adv. +indic.)","conjunction: subordinating","Conjunctions/Adverbs","126"
"ὄνομα ὀνόματος, τό","name; fame","noun: 3rd declension consonant stem","Writing and Talking","127"
"ὑπέρ","for (+gen), beyond (+acc.)","preposition","Prepositions without Direction","128"
"ἤδη","already, now (of the immediate past); presently (of the immediate future)","adverb","Time","129"
"πατήρ πατρός, ὁ","father","noun: 3rd declension irregular","Family and Friendship and the Home","130"
"ἀκούω, ἀκούσομαι, ἤκουσα, ἀκήκοα, plup. ἠκηκόη or ἀκηκόη, ἠκούσθην","listen (to), hear (of)","verb: -ω vowel stem","The Senses and Feelings","131"
"γένος γένους, τό","race, family; kind, class","noun: 3rd declension σ-stem","Family and Friendship and the Home","132"
"τόπος τόπου, ὁ","place; topic","noun: 2nd declension","Earth","133"
"πράσσω, πράξω, ἔπραξα, πέπραχα, πέπραγμαι, ἐπράχθην","do, achieve, accomplish; do or fare in a certain way (+adv.)","verb: -ω dental stem","Work and Leisure","134"
"πρῶτος πρώτη πρῶτον","first, foremost, earliest; (adv.) τὸ πρῶτον in the first place","adjective: 1st and 2nd declension","Measurements and Numerals","135"
"εὑρίσκω, εὑρήσω, 2 aor. ηὗρον or εὗρον, ηὕρηκα or εὕρηκα, εὕρημαι, εὑρέθην","find (out), discover, devise","verb: -ω palatal stem","Showing and Finding","136"
"παῖς παιδός, ὁ/ἡ","son, daughter, child; slave","noun: 3rd declension consonant stem","Family and Friendship and the Home","137"
"ἔρχομαι, fut. εἶμι or ἐλεύσομαι, 2 aor. ἦλθον, ἐλήλυθα","come, go","verb: deponent","Movement","138"
"υἱός υἱοῦ, ὁ","son","noun: 2nd declension","Family and Friendship and the Home","139"
"ὕδωρ ὕδατος, τό","water","noun: 3rd declension consonant stem","World Order","140"
"ἴδιος ἰδία ἴδιον","one’s own; peculiar, separate, distinct","adjective: 1st and 2nd declension","Pronouns/Interrogatives","141"
"σός σή σόν","your, yours (sg.; ὑμέτερος = pl.)","adjective: 1st and 2nd declension","Pronouns/Interrogatives","142"
"γιγνώσκω, γνώσομαι, ἔγνων, ἔγνωκα, ἔγνωσμαι, ἐγνώσθην","come to know, learn; judge, think, or determine that (+acc. and infin.)","verb: -ω palatal stem","The Mind, Perceiving and Learning","143"
"τυγχάνω, τεύξομαι, ἔτυχον, τετύχηκα. τέτυγμαι, ἐτύχθην","hit, light upon, meet by chance (+gen.); reach, gain, obtain; happen to be (+ptc.)","verb: -ω liquid stem","Humanity and Being","144"
"ἵστημι στήσω will set, ἔστησα set, caused to stand, 2 aor. ἔστην stood, ἕστηκα stand, plup. εἱστήκη stood, ἐστάθην stood","make to stand, set","verb: -μι","Work and Leisure","145"
"ἅμα","at the same time; (prep.) together with (+dat.)","adverb","Time","146"
"ἄγω, ἄξω, ἤγαγον, ἦχα, ἦγμαι, ἤχθην","lead, carry, bring; pass (time)","verb: -ω palatal stem","Movement","147"
"τρόπος τρόπου, ὁ","way, manner, fashion; way of life, habit, custom","noun: 2nd declension","Characteristics","148"
"μήτε...μήτε","neither...nor","conjunction: coordinating","Conjunctions/Adverbs","149"
"μέσος μέση μέσον","middle, in the middle, moderate; τὸ μέσον midst","adjective: 1st and 2nd declension","Measurements and Numerals","150"
"ἀλλήλων –οις","(oblique cases plural only) one another, each other","pronoun","Pronouns/Interrogatives","151"
"ἀεί","always","adverb","Time","152"
"φίλος φίλη φίλον","beloved, dear; friendly","adjective: 1st and 2nd declension","Family and Friendship and the Home","153"
"συμβαίνω, συμβήσομαι, 2 aor. συνέβην, συμβέβηκα","meet, come to an agreement, correspond; happen, occur, come to pass; turn out in a certain way (+adv.), result","verb: -ω liquid stem","Family and Friendship and the Home","154"
"ἔργον ἔργου, τό","work, achievement, exploit","noun: 2nd declension","Work and Leisure","155"
"πλέω, πλεύσομαι, ἔπλευσα, πέπλευκα, πέπλευσμαι, ἐπλεύσθην","sail","verb: contracted","Government and Society","156"
"τότε","then, at that time; οἱ τότε the men of that time (opp. οἱ νῦν)","adverb","Time","157"
"μήν","[emphasizes preceding particle]","adverb","Particles","158"
"χρή, impf. χρῆν or ἐχρῆν, infin. χρῆναι","it is necessary, it is fated, one ought (+infin. or +acc. and infin.)","verb: impersonal","Ethics and Morals","159"
"δείκνυμι, δείξω, ἔδειξα, δέδειχα, δέδειγμαι, ἐδείχθην","show, point out","verb: -μι","Showing and Finding","160"
"ζῷον ζῴου, τό","living being, animal","noun: 2nd declension","Animals and Plants","161"
"πρᾶγμα πράγματος, τό","thing; (pl.) circumstances, affairs, business","noun: 3rd declension consonant stem","Work and Leisure","162"
"ἐναντίος ἐναντία ἐναντίον","opposite, facing; opposing","preposition","Direction","163"
"τίθημι, θήσω, ἔθηκα, τέθηκα, τέθειμαι (but usu. κεῖμαι instead), ἐτέθην","to put, place; establish, ordain, institute; put in a certain state","verb: -μι","Work and Leisure","164"
"εἶδον, 2 aor. of ὁράω, act. infin. ἰδεῖν, mid.infin. ἰδέσθαι","I saw","verb: irregular","The Senses and Feelings","165"
"χείρ χειρός, ἡ","hand","noun: 3rd declension consonant stem","Body Parts","166"
"μηδέ","and not","conjunction: coordinating","Conjunctions/Adverbs","167"
"ὀλίγος ὀλίγη ὀλίγον","little, small, few","adjective: 1st and 2nd declension","Measurements and Numerals","168"
"νόμος νόμου, ὁ","custom, tradition, law","noun: 2nd declension","Law and Judgment","169"
"κοινός –ή –όν","common, shared, mutual","adjective: 1st and 2nd declension","Government and Society","170"
"οἴομαι or οἶμαι, οἰήσομαι, impf. ᾤμην, aor. ᾠήθην","think, suppose, imagine (+acc. and infin.)","verb: deponent","The Mind, Perceiving and Learning","171"
"κινέω, κινήσω, ἐκίνησα, κεκίνηκα, κεκίνημαι, ἐκινήθην","set in motion, move, rouse","verb: contracted","Movement","172"
"πάσχω, πείσομαι, ἔπαθον, πέπονθα","suffer, experience, be affected in a certain way (+adv.)","verb: -ω palatal stem","Life and Death","173"
"πῶς","how?","adverb","Pronouns/Interrogatives","174"
"ὅσπερ ἥπερ ὅπερ","the very one who, the very thing which","pronoun","Pronouns/Interrogatives","175"
"τοσοῦτος –αύτη –οῦτο(ν)","so large, so much","adjective: 1st and 2nd declension","Measurements and Numerals","176"
"σύν","with (+ dat. of accompaniment or means)","preposition","Prepositions without Direction","177"
"εἶτα","then, next","adverb","Conjunctions/Adverbs","178"
"ἀληθής –ές","true ","adjective: 3rd declension -ης, -ες","Ethics and Morals","179"
"δίκαιος δικαία δίκαιον","right, just","adjective: 1st and 2nd declension","Law and Judgment","180"
"μέλλω, μελλήσω, ἐμέλλησα","(+infin.) think of doing, intend to, be about to","verb: -ω liquid stem","The Senses and Feelings","181"
"ἐθέλω, ἐθελήσω, ἠθέλησα, ἠθέληκα","(+infin.) wish (to); be willing (to)","verb: -ω liquid stem","The Senses and Feelings","182"
"λοιπός –ή –όν","rest, remaining, rest-of-the","adjective: 1st and 2nd declension","Measurements and Numerals","183"
"ἀνάγκη ἀνάγκης, ἡ","necessity","noun: 1st declension","World Order","184"
"ὅτε","when, whenever (+indic. or opt.)","conjunction: subordinating","Time","185"
"δεύτερος –α –ον","second","adjective: numeral","Measurements and Numerals","186"
"πόλεμος πολέμου ὁ","war","noun: 2nd declension","War and Peace","187"
"χώρα χώρας, ἡ","land; place","noun: 1st declension","Earth","188"
"ζάω, ζήσω, ἔζησα, ἔζηκα","live","verb: contracted","Life and Death","189"
"πλῆθος πλήθους, τό","mass, throng, crowd; number","noun: 3rd declension σ-stem","Government and Society","190"
"ἥλιος ἡλίου, ὁ","sun","noun: 2nd declension","World Order","191"
"αἰτία αἰτίας, ἡ","cause, origin; charge, accusation","noun: 1st declension","Law and Judgment","192"
"πείθω, πείσω, ἔπεισα, πέποιθα, πέπεισμαι, ἐπείσθην","persuade, win over; (mid. and pass.) obey, believe in, trust in (+dat.)","verb: -ω dental stem","Writing and Talking","193"
"πάρειμι","be present, be ready or at hand; (impers.) πάρεστί μοι it depends on me, it is in my power; τὰ παρόντα the present circumstances; τὸ παρόν just now","verb: irregular","Humanity and Being","194"
"πλεῖστος πλείστη πλεῖστον","most, greatest, largest (superl. of πολύς)","adjective: 1st and 2nd declension","Measurements and Numerals","195"
"εἶδος εἴδους, τό","form, shape, figure; class, kind, sort","noun: 3rd declension σ-stem","Measurements and Numerals","196"
"ὅπως","how, as; so that, in order that (+subj. or opt.)","conjunction: subordinating","Conjunctions/Adverbs","197"
"τρεῖς τρία","three","adjective: numeral","Measurements and Numerals","198"
"βίος βίου, ὁ","life","noun: 2nd declension","Life and Death","199"
"νομίζω, νομιῶ, ἐνόμισα, νενόμικα, νενόμισμαι, ἐνομίσθην","think, believe that (+acc. and infin.); hold as a custom, be accustomed to (+infin.)","verb: -ω dental stem","","200"
"κύκλος κύκλου, ὁ","circle, ring, orb, disc, circular motion","noun: 2nd declension","Measurements and Numerals","201"
"πάθος πάθους, τό","incident, accident, misfortune, experience; passion, emotion; state, condition","noun: 3rd declension σ-stem","The Senses and Feelings","202"
"πρό","before, in front of (+gen.)","preposition","Time","203"
"ὀνομάζω, ὀνομάσω, ὠνόμασα, ὠνόμακα, ὠνόμασμαι, ὠνομάσθην","call by name","verb: -ω dental stem","Writing and Talking","204"
"μέντοι","however; of course","adverb","Particles","204"
"ἀρετή ἀρετῆς, ἡ","goodness, excellence; virtue; valor, bravery","noun: 1st declension","Ethics and Morals","206"
"ὑμέτερος ὑμετέρα ὑμέτερον","your, yours (pl.; σός = sg.)","adjective: 1st and 2nd declension","Pronouns/Interrogatives","206"
"ἔτος ἔτους, τό","year","noun: 3rd declension σ-stem","Time","208"
"ἀντί","opposite (+gen.)","preposition","Direction","209"
"ναῦς νεώς, ἡ","ship","noun: 3rd declension irregular","Work and Leisure","210"
"τρίτος –η –ον","third","adjective: numeral","Measurements and Numerals","211"
"πνεῦμα πνεύματος, τό","wind, breath, spirit","noun: 3rd declension consonant stem","Earth","212"
"ὀρθός –ή –όν","upright, straight, true, regular","adjective: 1st and 2nd declension","Measurements and Numerals","213"
"θάλασσα θαλάσσης, ἡ","the sea","noun: 1st declension","Earth","214"
"διαφέρω, διοίσω, 1 aor. διήνεγκα, 2 aor. διήνεγκον, διενήνοχα, διενήνεγμαι","carry in different ways, spread; differ; (impers.) διαφέρει it makes a difference to (+dat.)","verb: -ω liquid stem","Work and Leisure","215"
"μέχρι (+gen.)","until; (prep.) as far as, up to (+gen.)","conjunction: subordinating","Time","216"
"δόξα δόξης, ἡ","opinion, judgment; reputation, honor, glory","noun: 1st declension","Ethics and Morals","217"
"κεφαλή –ῆς, ἡ","head","noun: 1st declension","Body Parts","218"
"πῦρ πυρός, τό","fire","noun: 3rd declension consonant stem","World Order","219"
"ἐλάσσων ἔλασσον","smaller, less, fewer (comp. of μικρός)","adjective: 3rd declension -ων, -ον","Measurements and Numerals","220"
"πούς ποδός, ὁ","foot","noun: 3rd declension consonant stem","Body Parts","221"
"ἱερός –ά –όν","holy, venerated, divine","adjective: 1st and 2nd declension","Religion","222"
"εὐθύς εὐθεῖα εὐθύ","straight, direct; (adv.) immediately","adjective: -ύς, -εῖα, -ύ","Measurements and Numerals","223"
"εἶμι, infin. ἰέναι, ptc. ἰών, ἰοῦσα, ἰόν","I will go (fut. of ἔρχομαι)","verb: -μι","Movement","224"
"ταχύς ταχεῖα ταχύ","quick, fast; (adv.) τάχα quickly; perhaps","adjective: -ύς, -εῖα, -ύ","Characteristics","225"
"ποταμός –οῦ, ὁ","river, stream","noun: 2nd declension","Earth","226"
"οὐσία οὐσίας, ἡ","substance, property; essence","noun: 1st declension","Family and Friendship and the Home","227"
"ἀριθμός –οῦ, ὁ","number","noun: 2nd declension","Measurements and Numerals","228"
"ὕστερος ὑστέρα ὕστερον","coming after, following (+gen.); next, later; (adv.) ὕστερον afterwards","adjective: 1st and 2nd declension","Direction","229"
"φυλάσσω, φυλάξω, ἐφύλαξα, πεφύλαχα, πεφύλαγμαι, ἐφυλάχθην","watch, guard, defend; (mid.) be on one’s guard against (+acc.)","verb: -ω palatal stem","War and Peace","230"
"καιρός καιροῦ, ὁ","the right time","noun: 2nd declension","Time","231"
"οἰκέω, οἰκήσω, ᾤκησα, ᾤκηκα, ᾠκήθην","inhabit, occupy","verb: contracted","Family and Friendship and the Home","232"
"ἀμφότερος ἀμφοτέρα ἀμφότερον","both","adjective: 1st and 2nd declension","Measurements and Numerals","233"
"σημεῖον σημείου, τό","sign, signal, mark","noun: 2nd declension","Showing and Finding","234"
"παρέχω, παρέξω, παρέσχον, παρέσχηκα, impf. παρεῖχον","provide, present, offer; allow, grant","verb: -ω palatal stem","Taking and Giving","235"
"ἑκάτερος ἑκατέρα ἑκάτερον","each (of two)","pronoun","Pronouns/Interrogatives","236"
"δηλόω, δηλώσω, ἐδήλωσα, δεδήλωκα, ἐδηλώθην","show, declare, explain","verb: contracted","Showing and Finding","237"
"οἰκεῖος οἰκεία οἰκεῖον","domestic, of the house; one’s own; fitting, suitable","adjective: 1st and 2nd declension","Family and Friendship and the Home","238"
"κελεύω, κελεύσω, ἐκέλευσα, κεκέλευκα, κεκέλευσμαι, ἐκελεύσθην","order, bid, command (+acc. and infin.)","verb: -ω vowel stem","Law and Judgment","239"
"τέλος τέλους, τό","end, fulfillment, achievement","noun: 3rd declension σ-stem","Life and Death","240"
"ἡγέομαι, ἡγήσομαι, ἡγησάμην, ἥγημαι","lead, be the leader; regard, believe, think","verb: deponent","The Mind, Perceiving and Learning","241"
"ἄξιος ἀξία ἄξιον","worthy, deserving","adjective: 1st and 2nd declension","Ethics and Morals","242"
"ἦ","truly (emphasizes what follows)","adverb","Particles","243"
"δῆλος δήλη δῆλον","visible, clear, manifest","adjective: 1st and 2nd declension","Showing and Finding","244"
"τοίνυν (τοί-νυν)","therefore, accordingly (inferential); further, moreover (transitional)","adverb","Particles","245"
